champion_id,riot_key,display_name,roles,pool_tier,patch_window,exported_at,engage,engage_ci_low,engage_ci_high,engage_n,engage_support,engage_unknown_rate,engage_norm,poke,poke_ci_low,poke_ci_high,poke_n,poke_support,poke_unknown_rate,poke_norm,pick,pick_ci_low,pick_ci_high,pick_n,pick_support,pick_unknown_rate,pick_norm,peel,peel_ci_low,peel_ci_high,peel_n,peel_support,peel_unknown_rate,peel_norm,mobility,mobility_ci_low,mobility_ci_high,mobility_n,mobility_support,mobility_unknown_rate,mobility_norm,scaling,scaling_ci_low,scaling_ci_high,scaling_n,scaling_support,scaling_unknown_rate,scaling_norm,cc,cc_ci_low,cc_ci_high,cc_n,cc_support,cc_unknown_rate,cc_norm,waveclear,waveclear_ci_low,waveclear_ci_high,waveclear_n,waveclear_support,waveclear_unknown_rate,waveclear_norm,peak_minute,peak_minute_ci_low,peak_minute_ci_high,peak_minute_n,peak_minute_support,power_at_5,power_at_10,power_at_15,power_at_20,power_at_25,lane_strength_top,lane_strength_top_ci_low,lane_strength_top_ci_high,lane_strength_top_n,lane_strength_top_support,lane_strength_mid,lane_strength_mid_ci_low,lane_strength_mid_ci_high,lane_strength_mid_n,lane_strength_mid_support,lane_strength_adc,lane_strength_adc_ci_low,lane_strength_adc_ci_high,lane_strength_adc_n,lane_strength_adc_support,synergy_mean,synergy_mean_n,synergy_mean_support,trait_engage,trait_engage_ci_low,trait_engage_ci_high,trait_engage_n,trait_engage_support,trait_poke,trait_poke_ci_low,trait_poke_ci_high,trait_poke_n,trait_poke_support,trait_pick,trait_pick_ci_low,trait_pick_ci_high,trait_pick_n,trait_pick_support,trait_peel,trait_peel_ci_low,trait_peel_ci_high,trait_peel_n,trait_peel_support,trait_front_to_back,trait_front_to_back_ci_low,trait_front_to_back_ci_high,trait_front_to_back_n,trait_front_to_back_support,trait_dive,trait_dive_ci_low,trait_dive_ci_high,trait_dive_n,trait_dive_support,trait_split_push,trait_split_push_ci_low,trait_split_push_ci_high,trait_split_push_n,trait_split_push_support
9,Jhin,Jhin,adc,1,16.18..16.20,2026-10-24,-1.180,-1.399,-0.961,80,solid,0.12,0.023,1.060,0.809,1.311,61,solid,0.07,0.864,0.880,0.616,1.144,55,solid,0.07,0.677,-0.440,-0.709,-0.171,53,solid,0.07,0.310,-0.920,-1.163,-0.677,65,solid,0.14,0.074,0.410,0.161,0.659,62,solid,0.03,0.446,0.340,0.106,0.574,70,solid,0.03,0.513,0.280,-0.084,0.644,29,limited,0.07,0.542,22,20,24,44,solid,0.08,0.28,0.65,0.97,0.92,,,,0,insufficient,,,,0,insufficient,-0.180,-0.454,0.094,34,solid,0.180,12,limited,0.050,0.015,0.153,47,solid,0.780,0.643,0.875,47,solid,0.620,0.477,0.745,47,limited,0.090,0.036,0.206,47,solid,0.740,0.600,0.844,47,solid,0.060,0.020,0.167,47,solid,0.120,0.055,0.243,47,solid
12,Alistar,Alistar,support,1,16.18..16.20,2026-10-24,1.420,1.259,1.581,148,solid,0.03,1.000,-1.350,-1.534,-1.166,114,solid,0.10,0.000,0.620,0.427,0.813,103,solid,0.10,0.576,1.280,1.082,1.478,98,solid,0.10,0.977,0.150,-0.028,0.328,121,solid,0.07,0.470,-0.880,-1.062,-0.698,116,solid,0.17,0.000,1.630,1.459,1.801,131,solid,0.05,1.000,-1.380,-1.647,-1.113,54,solid,0.34,0.000,14,12,16,38,solid,0.49,0.87,0.99,0.73,0.34,,,,0,insufficient,,,,0,insufficient,,,,0,insufficient,0.740,11,limited,0.910,0.815,0.959,64,solid,0.040,0.013,0.119,64,solid,0.340,0.236,0.462,64,solid,0.770,0.653,0.856,64,solid,0.520,0.400,0.638,64,solid,0.610,0.488,0.720,64,solid,0.020,0.004,0.090,64,solid
18,Darius,Darius,top,1,16.18..16.20,2026-10-24,0.710,0.539,0.881,132,solid,0.07,0.733,-0.620,-0.815,-0.425,101,solid,0.03,0.262,0.940,0.736,1.144,92,solid,0.03,0.700,-0.850,-1.060,-0.640,87,solid,0.03,0.151,-1.120,-1.308,-0.932,109,solid,0.12,0.000,-0.340,-0.532,-0.148,104,solid,0.10,0.187,0.280,0.099,0.461,117,solid,0.10,0.491,-0.210,-0.493,0.073,48,solid,0.03,0.382,12,10,14,51,solid,0.65,0.97,0.92,0.57,0.22,0.820,0.587,1.053,47,solid,,,,0,insufficient,,,,0,insufficient,0.220,5,insufficient,0.580,0.452,0.698,58,solid,0.060,0.022,0.153,58,solid,0.440,0.320,0.568,58,solid,0.080,0.034,0.179,58,solid,0.410,0.293,0.538,58,solid,0.290,0.189,0.417,58,solid,0.720,0.594,0.819,58,solid
25,Garen,Garen,top,1,16.18..16.20,2026-10-24,0.440,0.238,0.642,94,solid,0.05,0.632,-1.020,-1.251,-0.789,72,solid,0.12,0.118,0.350,0.109,0.591,66,solid,0.12,0.471,-0.580,-0.829,-0.331,62,solid,0.12,0.256,-0.310,-0.533,-0.087,77,solid,0.10,0.300,-0.520,-0.748,-0.292,74,solid,0.07,0.125,0.110,-0.105,0.325,83,solid,0.07,0.426,0.620,0.284,0.956,34,limited,0.12,0.654,13,11,15,29,limited,0.57,0.92,0.97,0.65,0.28,0.340,0.080,0.600,38,solid,,,,0,insufficient,,,,0,insufficient,,0,insufficient,0.460,0.318,0.609,41,limited,0.040,0.010,0.149,41,solid,0.380,0.248,0.533,41,limited,0.110,0.046,0.241,41,solid,0.340,0.214,0.493,41,limited,0.220,0.120,0.368,41,solid,0.810,0.666,0.901,41,solid
30,Karma,Karma,support|mid,1,16.18..16.20,2026-10-24,-0.350,-0.583,-0.117,71,solid,0.05,0.335,0.940,0.673,1.207,54,solid,0.12,0.821,-0.120,-0.400,0.160,49,solid,0.12,0.288,1.050,0.764,1.336,47,solid,0.12,0.888,0.380,0.123,0.637,58,solid,0.10,0.556,-0.210,-0.474,0.054,55,solid,0.07,0.232,0.220,-0.029,0.469,62,solid,0.07,0.468,0.440,0.056,0.824,26,limited,0.22,0.595,16,13,19,21,limited,0.34,0.73,0.99,0.87,0.49,,,,0,insufficient,0.120,-0.413,0.653,9,limited,,,,0,insufficient,0.610,9,limited,0.180,0.089,0.329,38,solid,0.710,0.552,0.830,38,limited,0.210,0.110,0.363,38,limited,0.820,0.671,0.911,38,solid,0.580,0.423,0.722,38,limited,0.340,0.210,0.499,38,limited,0.070,0.023,0.196,38,solid
34,Kayle,Kayle,top|mid,1,16.18..16.20,2026-10-24,-1.240,-1.428,-1.052,109,solid,0.12,0.000,0.220,0.005,0.435,83,solid,0.07,0.563,-0.860,-1.085,-0.635,76,solid,0.07,0.000,0.310,0.079,0.541,72,solid,0.07,0.601,-0.180,-0.388,0.028,89,solid,0.05,0.348,2.010,1.797,2.223,85,solid,0.03,1.000,-0.740,-0.940,-0.540,96,solid,0.03,0.106,0.860,0.550,1.170,40,limited,0.07,0.732,31,29,33,47,solid,0.00,0.02,0.10,0.34,0.73,-0.880,-1.130,-0.630,41,solid,-0.620,-1.048,-0.192,14,limited,,,,0,insufficient,,0,insufficient,0.040,0.011,0.132,52,solid,0.280,0.176,0.414,52,solid,0.060,0.021,0.160,52,solid,0.380,0.261,0.516,52,limited,0.880,0.765,0.943,52,solid,0.120,0.057,0.235,52,solid,0.780,0.650,0.871,52,solid
41,Lucian,Lucian,adc|mid,1,16.18..16.20,2026-10-24,-0.420,-0.617,-0.223,99,solid,0.10,0.308,0.580,0.355,0.805,76,solid,0.05,0.692,0.510,0.274,0.746,69,solid,0.05,0.533,-0.620,-0.863,-0.377,65,solid,0.05,0.240,1.120,0.902,1.338,81,solid,0.03,0.830,-0.660,-0.883,-0.437,77,solid,0.12,0.076,-0.480,-0.690,-0.270,87,solid,0.12,0.204,0.350,0.023,0.677,36,limited,0.05,0.565,15,13,17,36,solid,0.41,0.80,1.00,0.80,0.41,,,,0,insufficient,0.280,-0.202,0.762,11,limited,0.640,0.343,0.937,29,solid,0.440,13,limited,0.220,0.123,0.362,44,solid,0.540,0.396,0.678,44,limited,0.480,0.340,0.623,44,limited,0.120,0.054,0.248,44,solid,0.610,0.463,0.740,44,limited,0.440,0.304,0.586,44,limited,0.180,0.094,0.318,44,solid
48,Nami,Nami,support,1,16.18..16.20,2026-10-24,-0.280,-0.503,-0.057,77,solid,0.07,0.361,0.420,0.165,0.675,59,solid,0.03,0.634,0.180,-0.087,0.447,54,solid,0.03,0.405,1.340,1.066,1.614,51,solid,0.03,1.000,-0.550,-0.797,-0.303,63,solid,0.12,0.211,0.120,-0.131,0.371,61,solid,0.10,0.346,0.960,0.722,1.198,68,solid,0.10,0.747,-0.720,-1.090,-0.350,28,limited,0.31,0.216,18,15,21,17,limited,0.22,0.57,0.92,0.97,0.65,,,,0,insufficient,,,,0,insufficient,,,,0,insufficient,0.920,14,limited,0.240,0.130,0.400,36,limited,0.480,0.327,0.637,36,limited,0.320,0.191,0.483,36,limited,0.860,0.712,0.938,36,solid,0.640,0.477,0.776,36,limited,0.280,0.160,0.442,36,limited,0.030,0.006,0.145,36,solid
55,Ziggs,Ziggs,mid,2,16.18..16.20,2026-10-24,-0.910,-1.241,-0.579,35,limited,0.05,0.124,1.440,1.063,1.817,27,limited,0.12,1.000,-0.380,-0.780,0.020,24,limited,0.12,0.187,-0.660,-1.069,-0.251,23,limited,0.12,0.225,-0.720,-1.084,-0.356,29,limited,0.10,0.148,0.340,-0.037,0.717,27,limited,0.07,0.422,0.120,-0.232,0.472,31,limited,0.07,0.430,1.680,1.136,2.224,13,limited,0.12,1.000,19,16,22,12,limited,0.18,0.49,0.87,0.99,0.73,,,,0,insufficient,-0.240,-0.640,0.160,16,limited,,,,0,insufficient,,0,insufficient,0.070,0.018,0.241,24,solid,0.910,0.733,0.974,24,solid,0.120,0.041,0.304,24,limited,0.090,0.026,0.267,24,solid,0.720,0.520,0.859,24,limited,0.040,0.007,0.200,24,solid,0.380,0.215,0.578,24,limited
61,Syndra,Syndra,mid,1,16.18..16.20,2026-10-24,-0.220,-0.402,-0.038,116,solid,0.10,0.383,1.280,1.072,1.488,89,solid,0.05,0.943,1.020,0.802,1.238,81,solid,0.05,0.732,-0.310,-0.533,-0.087,77,solid,0.05,0.360,-0.440,-0.640,-0.240,96,solid,0.03,0.252,0.940,0.736,1.144,92,solid,0.12,0.630,0.680,0.487,0.873,103,solid,0.12,0.642,0.720,0.421,1.019,43,solid,0.05,0.686,24,22,26,33,limited,0.04,0.18,0.49,0.87,0.99,,,,0,insufficient,0.460,0.219,0.701,44,solid,,,,0,insufficient,-0.120,3,insufficient,0.160,0.083,0.287,49,solid,0.820,0.691,0.903,49,solid,0.680,0.540,0.793,49,limited,0.140,0.069,0.263,49,solid,0.580,0.441,0.707,49,limited,0.220,0.127,0.354,49,solid,0.210,0.119,0.343,49,solid
